Address,Data
1000,-290
1004,-290
1008,-275
1012,-325
1016,-345
1020,-363
1024,-317
1028,-455
1032,-530
1036,-530
1040,-572
1044,-588
1048,-557
1052,-590
1056,-592
1060,-700
1064,-865
1068,-730
1072,522
1076,1451
1080,-397
1084,-725
1088,-667
1092,-640
1096,-672
1100,-660
1104,-680
1108,-643
1112,-662
1116,-697
1120,-665
1124,-670
1128,-665
1132,-680
1136,-689
1140,-665
1144,-672
1148,-690
1152,-682
1156,-675
1160,-702
1164,-695
1168,-723
1172,-742
1176,-732
1180,-725
1184,-710
1188,-662
1192,-602
1196,-573
1200,-510
1204,-488
1208,-498
1212,-503
1216,-513
1220,-530
1224,-552
1228,-542
1232,-557
1236,-555
1240,-559
1244,-600
1248,-612
1252,-578
1256,-595
1260,-620
1264,-604
1268,-635
1272,-633
1276,-627
1280,-610
1284,-597
1288,-585
1292,-609
1296,-557
1300,-522
1304,-452
1308,-425
1312,-448
1316,-470
1320,-440
1324,-590
1328,-650
1332,-650
1336,-687
1340,-682
1344,-675
1348,-662
1352,-728
1356,-927
1360,-877
1364,275
1368,1719
1372,650
1376,-793
1380,-829
1384,-767
1388,-772
1392,-782
1396,-797
1400,-780
1404,-797
1408,-793
1412,-815
1416,-819
1420,-793
1424,-797
1428,-792
1432,-775
1436,-797
1440,-797
1444,-807
1448,-832
1452,-847
1456,-855
1460,-895
1464,-910
1468,-910
1472,-927
1476,-880
1480,-770
1484,-695
1488,-648
1492,-614
1496,-629
1500,-625
1504,-607
1508,-630
1512,-624
1516,-600
1520,-622
1524,-637
1528,-637
1532,-672
1536,-674
1540,-670
1544,-677
1548,-679
1552,-665
1556,-710
1560,-687
1564,-670
1568,-692
1572,-687
1576,-680
1580,-672
1584,-677
1588,-640
1592,-578
1596,-525
1600,-464
1604,-485
1608,-502
1612,-508
1616,-492
1620,-595
1624,-670
1628,-715
1632,-722
1636,-740
1640,-760
1644,-760
1648,-899
1652,-1085
1656,-312
1660,1472
1664,550
1668,-933
1672,-785
1676,-800
1680,-795
1684,-810
1688,-822
1692,-839
1696,-822
1700,-844
1704,-832
1708,-797
1712,-802
1716,-820
1720,-832
1724,-842
1728,-817
1732,-805
1736,-795
1740,-797
1744,-817
1748,-840
1752,-845
1756,-847
1760,-842
1764,-778
1768,-682
1772,-658
1776,-617
1780,-602
1784,-622
1788,-620
1792,-622
1796,-630
1800,-630
1804,-642
1808,-687
1812,-682
1816,-708
1820,-712
1824,-705
1828,-710
1832,-740
1836,-735
1840,-718
1844,-715
1848,-702
1852,-713
1856,-737
1860,-723
1864,-702
1868,-670
1872,-612
1876,-565
1880,-537
1884,-522
1888,-544
1892,-554
1896,-510
1900,-622
1904,-752
1908,-760
1912,-774
1916,-788
1920,-788
1924,-800
1928,-933
1932,-1087
1936,-1171
1940,-340
1944,1338
1948,502
1952,-952
1956,-795
1960,-788
1964,-810
1968,-805
1972,-810
1976,-805
1980,-785
1984,-795
1988,-802
1992,-769
1996,-767
2000,-775
2004,-772
2008,-757
2012,-767
2016,-762
2020,-752
2024,-757
2028,-769
2032,-752
2036,-752
2040,-767
2044,-745
2048,-690
2052,-637
2056,-588
2060,-560
2064,-580
2068,-578
2072,-585
2076,-588
2080,-588
2084,-600
2088,-622
2092,-617
2096,-655
2100,-652
2104,-643
2108,-674
2112,-687
2116,-670
2120,-665
2124,-698
2128,-699
2132,-690
2136,-715
2140,-699
2144,-680
2148,-670
2152,-600
2156,-572
2160,-544
2164,-482
2168,-495
2172,-518
2176,-534
2180,-520
2184,-638
2188,-677
2192,-692
2196,-722
2200,-740
2204,-742
2208,-737
2212,-718
2216,-827
2220,-1060
2224,-552
2228,1092
2232,630
2236,-925
2240,-795
2244,-827
2248,-805
2252,-797
2256,-790
2260,-783
2264,-814
2268,-822
2272,-812
2276,-822
2280,-827
2284,-795
2288,-797
2292,-837
2296,-802
2300,-802
2304,-817
2308,-800
2312,-847
2316,-885
2320,-902
2324,-880
2328,-885
2332,-842
2336,-787
2340,-720
2344,-627
2348,-622
2352,-630
2356,-607
2360,-619
2364,-595
2368,-585
2372,-614
2376,-650
2380,-650
2384,-655
2388,-665
2392,-653
2396,-662
2400,-667
2404,-648
2408,-687
2412,-662
2416,-645
2420,-665
2424,-675
2428,-660
2432,-670
2436,-597
2440,-525
2444,-490
2448,-455
2452,-467
2456,-477
2460,-492
2464,-420
2468,-555
2472,-660
2476,-692
2480,-690
2484,-713
2488,-708
2492,-717
2496,-737
2500,-875
2504,-1045
2508,-410
2512,1297
2516,615
2520,-933
2524,-790
2528,-778
2532,-802
2536,-795
2540,-807
2544,-822
2548,-795
2552,-805
2556,-810
2560,-797
2564,-827
2568,-835
2572,-797
2576,-805
2580,-832
2584,-827
2588,-819
2592,-805
2596,-802
2600,-835
2604,-867
2608,-872
2612,-880
2616,-882
2620,-822
2624,-707
2628,-647
2632,-580
2636,-585
2640,-588
2644,-559
2648,-558
2652,-560
2656,-568
2660,-590
2664,-602
2668,-605
2672,-638
2676,-637
2680,-637
2684,-635
2688,-652
2692,-650
2696,-658
2700,-650
2704,-629
2708,-647
2712,-662
2716,-650
2720,-642
2724,-648
2728,-609
2732,-573
2736,-518
2740,-455
2744,-420
2748,-452
2752,-462
2756,-448
2760,-518
2764,-628
2768,-653
2772,-679
2776,-658
2780,-685
2784,-689
2788,-682
2792,-747
2796,-970
100,1000
104,10000
108,504
112,10000
116,500
120,450
500,707
504,707
508,707
512,-707
